"full_text","reply_count","retweet_count","favorite_count","url","created_at"
"Famosos con Luna en cada signo 🌙🔮

Parte 1 🖤✨ https://t.co/ZRLVkTwOlq","0","13","149","https://twitter.com/horoscoponegro/status/1524793871414312962","2022-05-12T16:49:22.000Z"
"El estereotipo de los signos 🔮 https://t.co/jbxmS5YRNa","18","131","1275","https://twitter.com/horoscoponegro/status/1524764152736137216","2022-05-12T14:51:17.000Z"
"#GÉMINIS: que te enseñen que hay más de un camino a seguir sólo te sirve para complicarte el doble...Tener que decidir es un gran trabajo...","0","19","134","https://twitter.com/horoscoponegro/status/1524739987014565890","2022-05-12T13:15:15.000Z"
"Top de los signos que son un encanto en la cama 🔮 https://t.co/lqnTpziRwS","181","247","2903","https://twitter.com/horoscoponegro/status/1524478516951195648","2022-05-11T19:56:16.000Z"
"#CÁNCER: es sorprendente que a veces seas frío y que todo te de igual, pero evidentemente, tienes límites, no siempre vas a sufrir...","0","41","198","https://twitter.com/horoscoponegro/status/1524473730226954242","2022-05-11T19:37:15.000Z"
"El estilo de los signos del zodiaco 💅🖤

Parte 2 ✨ https://t.co/uAPMww19ik","21","78","778","https://twitter.com/horoscoponegro/status/1524430970002227202","2022-05-11T16:47:20.000Z"
"El estilo de los signos del zodiaco 💅🖤

Parte 1 ✨ https://t.co/gBUEYcZ40d","12","35","400","https://twitter.com/horoscoponegro/status/1524430759263707139","2022-05-11T16:46:30.000Z"
"#LEO: Prefieres que te ofendan pero que te digan la verdad, a pesar de que en el mismo momento que lo dicen puedas matar a alguien...","1","37","165","https://twitter.com/horoscoponegro/status/1524428218685661185","2022-05-11T16:36:24.000Z"
"Lo más adorable que hacen los signos en sus relaciones 🔮 https://t.co/RpJoK9SDbi","13","115","1317","https://twitter.com/horoscoponegro/status/1524401514671919106","2022-05-11T14:50:17.000Z"
"Ranking de los signos que aman incondicionalmente 🔮 https://t.co/tmzdYlqhKt","27","148","1511","https://twitter.com/horoscoponegro/status/1524115868178866179","2022-05-10T19:55:14.000Z"
"#VIRGO: eres precavido. Aunque parezcas distraído a veces, no es así, las captas todas. Y tienes más de un plan para cada ocasión.","1","29","184","https://twitter.com/horoscoponegro/status/1524111836332892167","2022-05-10T19:39:13.000Z"
"El estilo de los signos del zodiaco 💅🖤

Parte 3 ✨ https://t.co/9ux77xEHpx","12","34","446","https://twitter.com/horoscoponegro/status/1524068569830543361","2022-05-10T16:47:17.000Z"
"Quotes de los signos en películas/series 🔮 
Parte 3 ✨ https://t.co/F0XDWfigbu","0","39","293","https://twitter.com/horoscoponegro/status/1524067354044424194","2022-05-10T16:42:27.000Z"
"Quotes de los signos en películas/series 🔮 
Parte 2 ✨ https://t.co/kxsZEkS2CU","3","51","408","https://twitter.com/horoscoponegro/status/1524067312290127872","2022-05-10T16:42:17.000Z"
"Quotes de los signos en películas/series 🔮 
Parte 1 ✨ https://t.co/w2GoMbaf7N","4","50","422","https://twitter.com/horoscoponegro/status/1524067101165694981","2022-05-10T16:41:27.000Z"
"Lo que los signos quieren decirte 🔮 https://t.co/eHmz0iYXC4","2","123","1124","https://twitter.com/horoscoponegro/status/1524038608478429184","2022-05-10T14:48:14.000Z"
"#LIBRA: eres indeciso, eso ya lo sabemos, tú dices que sólo tardas tiempo en calcular las posibilidades de obtener el mejor resultado.","1","21","144","https://twitter.com/horoscoponegro/status/1524015201481379840","2022-05-10T13:15:13.000Z"
"Diferencias entre los signos del zodiaco según su mes de nacimiento parte 3 🔮✨ https://t.co/opems8WGoL","3","30","262","https://twitter.com/horoscoponegro/status/1523945263076937728","2022-05-10T08:37:18.000Z"
"Diferencias entre los signos del zodiaco según su mes de nacimiento parte 2 🔮✨ https://t.co/AZyLXvUIPl","6","43","344","https://twitter.com/horoscoponegro/status/1523945262577852416","2022-05-10T08:37:18.000Z"
"Diferencias entre los signos del zodiaco según su mes de nacimiento 🔮✨ https://t.co/hAhhZROkAu","4","39","325","https://twitter.com/horoscoponegro/status/1523945010558865408","2022-05-10T08:36:18.000Z"
"#ESCORPIO: aunque aún no lo sepas del todo, puedes hacer lo que quieras con quien quieras. Tienes poder.","3","37","186","https://twitter.com/horoscoponegro/status/1523748983516057607","2022-05-09T19:37:22.000Z"
"El peor defecto de tu signo del zodiaco 🔮 https://t.co/GoXGcnkns0","18","196","1852","https://twitter.com/horoscoponegro/status/1523744925690568712","2022-05-09T19:21:14.000Z"
"#SAGITARIO: muchos te llaman loco, pocos entienden tu locura. Dentro de ti hay ideas, conceptos y una filosofía que casi nadie comprende.","3","46","188","https://twitter.com/horoscoponegro/status/1523703432993030144","2022-05-09T16:36:22.000Z"
"La precaución que debes tomar con Mercurio retrógrado 🔮 https://t.co/Mthcw2hPGE","12","199","1694","https://twitter.com/horoscoponegro/status/1523668920175054848","2022-05-09T14:19:13.000Z"
"Antes de dormir... 💤 https://t.co/d3bheTo5KR","9","118","1347","https://twitter.com/horoscoponegro/status/1523441281309057024","2022-05-08T23:14:40.000Z"
"https://t.co/anx99GoJCj","17","72","851","https://twitter.com/horoscoponegro/status/1523421284943769602","2022-05-08T21:55:12.000Z"
"Los elementos de los signos 🌊🔥🌱🌬️

Síguenos @horoscoponegro https://t.co/Gxn6qUSWEl","2","54","431","https://twitter.com/horoscoponegro/status/1523403179827904512","2022-05-08T20:43:16.000Z"
"#CAPRICORNIO: te obsesionas con cosas y tienes fé en que puedes cambiarlas.Y puede ser,pero a veces alargas demasiado todo debiendo cortarlo","2","33","178","https://twitter.com/horoscoponegro/status/1523386592848748546","2022-05-08T19:37:21.000Z"
"#ACUARIO: a veces te gustaría ser más común, ver las cosas sin complicarte tanto, sin darle tantas vueltas, pero eres inteligente...Mucho","0","27","155","https://twitter.com/horoscoponegro/status/1523341042556227584","2022-05-08T16:36:21.000Z"
"#PISCIS: demasiado astuto para que nadie te engañe aunque en ocasiones, cuando estás más débil muchos se acercan para intentarlo.","1","16","118","https://twitter.com/horoscoponegro/status/1523024668139085827","2022-05-07T19:39:11.000Z"
"#ARIES: te gustaría ser más paciente, saber esperar y no ser tan impulsivo a veces, pero siento decírtelo, eres así, y serás así.","7","39","235","https://twitter.com/horoscoponegro/status/1522928034805956609","2022-05-07T13:15:12.000Z"
"Tú siempre primera, nunca secondary 🖤 #Chanelazo","0","18","133","https://twitter.com/horoscoponegro/status/1522919705488596995","2022-05-07T12:42:06.000Z"
"#TAURO: te gustaría ser un poco menos rencoroso, pero es difícil, no olvidas lo que hicieron mal. Eres así.","2","27","194","https://twitter.com/horoscoponegro/status/1522661821286601077","2022-05-06T19:37:22.000Z"
"#GÉMINIS: te gustaría saber qué es lo que quieres hacer con tu vida, pero cuanto más conoces, más quieres experimentar.","2","15","143","https://twitter.com/horoscoponegro/status/1522616230770888704","2022-05-06T16:36:12.000Z"
"💔 https://t.co/jutm2bmojI","11","92","1104","https://twitter.com/horoscoponegro/status/1522592458684739586","2022-05-06T15:01:45.000Z"
"Puede que esto no te guste...

#horoscoponegro #aries #tauro #géminis #cáncer #leo #virgo #libra #escorpio #sagitario #capricornio #acuario #piscis https://t.co/PyxSKKlIlT","12","32","468","https://twitter.com/horoscoponegro/status/1522587295752372224","2022-05-06T14:41:14.000Z"
